epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,284.614,1.13249,0.76097,1.08463,0.67671,0.63237,0.67371,0.40137,1.60393,1.45085,1.36572,0.00126942,0.00126942,0.00126942
55,290.001,1.12516,0.78804,1.06206,0.76727,0.68822,0.72646,0.45578,1.41345,1.15372,1.28002,0.00126192,0.00126192,0.00126192
56,294.377,1.12319,0.71406,1.07749,0.81532,0.70025,0.73607,0.44836,1.38886,0.94176,1.27251,0.00125442,0.00125442,0.00125442
57,299.147,1.0979,0.76091,1.05234,0.73815,0.74192,0.73189,0.44904,1.39993,1.0086,1.32593,0.00124692,0.00124692,0.00124692
58,304.333,1.18338,0.74851,1.09052,0.79146,0.66919,0.73927,0.43046,1.51367,1.13047,1.39799,0.00123941,0.00123941,0.00123941
59,308.633,1.11725,0.73965,1.05962,0.78183,0.74296,0.78255,0.47475,1.44039,1.10861,1.29774,0.00123191,0.00123191,0.00123191
60,312.707,1.11926,0.77595,1.09548,0.8088,0.65329,0.72306,0.43837,1.42972,1.44407,1.27767,0.00122441,0.00122441,0.00122441
61,318.197,1.14474,0.75315,1.07843,0.67376,0.65115,0.66685,0.39802,1.50505,1.49912,1.33988,0.00121691,0.00121691,0.00121691
62,322.697,1.13035,0.75307,1.0841,0.77403,0.67571,0.75935,0.44102,1.45079,1.0976,1.26317,0.00120941,0.00120941,0.00120941
63,327.71,1.15259,0.7465,1.06837,0.70521,0.72731,0.73916,0.42008,1.39383,1.19049,1.24794,0.00120191,0.00120191,0.00120191
64,332.866,1.13568,0.72678,1.06578,0.68776,0.71617,0.71014,0.42116,1.47286,1.16514,1.3189,0.00119441,0.00119441,0.00119441
65,336.809,1.12223,0.75209,1.07629,0.73176,0.62273,0.69,0.42034,1.43977,1.29374,1.24574,0.0011869,0.0011869,0.0011869
66,342.107,1.10326,0.68397,1.05635,0.8262,0.67298,0.71792,0.44552,1.40966,1.13582,1.26193,0.0011794,0.0011794,0.0011794
67,347.265,1.12136,0.68255,1.05667,0.834,0.70321,0.74794,0.46006,1.40983,1.18213,1.27753,0.0011719,0.0011719,0.0011719
68,351.409,1.07454,0.6893,1.03314,0.66843,0.73232,0.70076,0.42371,1.46342,1.213,1.32065,0.0011644,0.0011644,0.0011644
69,356.161,1.07483,0.7094,1.0439,0.78611,0.6532,0.73013,0.42812,1.5294,1.24309,1.39102,0.0011569,0.0011569,0.0011569
70,361.231,1.11805,0.72389,1.06555,0.67275,0.70934,0.71276,0.40454,1.47502,1.48779,1.33517,0.0011494,0.0011494,0.0011494
71,365.662,1.08266,0.69371,1.03772,0.6934,0.78788,0.74235,0.45958,1.45421,1.0646,1.32915,0.0011419,0.0011419,0.0011419
72,370.405,1.0969,0.7058,1.05921,0.76087,0.77688,0.79045,0.48317,1.39669,1.00491,1.2669,0.00113439,0.00113439,0.00113439
73,375.406,1.10672,0.69481,1.05097,0.80655,0.69958,0.76085,0.45661,1.45672,1.10519,1.27925,0.00112689,0.00112689,0.00112689
74,379.69,1.06758,0.66579,1.04841,0.6594,0.6548,0.69324,0.4085,1.44082,1.20984,1.27732,0.00111939,0.00111939,0.00111939
75,384.942,1.06335,0.68211,1.06772,0.70807,0.61836,0.67848,0.40276,1.36999,1.1855,1.23197,0.00111189,0.00111189,0.00111189
76,390.073,1.06101,0.67346,1.05911,0.77181,0.59081,0.67327,0.39024,1.43999,1.39446,1.30941,0.00110439,0.00110439,0.00110439
77,394.33,1.06144,0.62117,1.03404,0.62631,0.64899,0.64274,0.37453,1.47254,1.46901,1.33793,0.00109689,0.00109689,0.00109689
78,399.465,1.08524,0.67324,1.03723,0.70218,0.71038,0.74739,0.4519,1.40788,1.06058,1.28081,0.00108938,0.00108938,0.00108938
79,404.253,1.07191,0.66123,1.03416,0.84578,0.69793,0.78352,0.48984,1.40434,0.99562,1.28483,0.00108188,0.00108188,0.00108188
80,408.236,1.0478,0.6493,1.02725,0.8397,0.74672,0.79405,0.47941,1.45905,0.93745,1.33645,0.00107438,0.00107438,0.00107438
81,413.748,1.03336,0.66372,1.01672,0.77112,0.705,0.78304,0.46715,1.56576,0.9774,1.37547,0.00106688,0.00106688,0.00106688
82,418.971,1.06186,0.64229,1.02969,0.77916,0.61533,0.72064,0.44936,1.46588,1.24969,1.30817,0.00105938,0.00105938,0.00105938
83,423.338,1.02467,0.66078,1.01283,0.75379,0.62864,0.68881,0.42998,1.50723,1.54793,1.32124,0.00105188,0.00105188,0.00105188
84,428.431,1.0229,0.66222,1.01352,0.7367,0.64949,0.69314,0.42157,1.42599,1.18577,1.27316,0.00104438,0.00104438,0.00104438
85,433.606,1.04613,0.66702,1.02874,0.74805,0.64437,0.68277,0.41962,1.42014,1.00973,1.28593,0.00103687,0.00103687,0.00103687
86,437.887,1.08084,0.66509,1.01709,0.73042,0.66566,0.72691,0.45291,1.35106,1.08292,1.29089,0.00102937,0.00102937,0.00102937
87,443.386,0.99141,0.59947,1.00946,0.80093,0.68121,0.76299,0.47374,1.39626,1.03034,1.31752,0.00102187,0.00102187,0.00102187
88,447.76,1.02992,0.62741,0.99903,0.8145,0.69545,0.73555,0.48108,1.42876,1.01137,1.35019,0.00101437,0.00101437,0.00101437
89,451.913,1.03003,0.59507,1.01695,0.73147,0.65664,0.68467,0.42363,1.52273,1.04829,1.38258,0.00100687,0.00100687,0.00100687
90,457.69,1.07189,0.63475,1.01906,0.7857,0.6492,0.73,0.44846,1.4839,1.08063,1.36158,0.000999366,0.000999366,0.000999366
91,462.235,1.02366,0.59456,1.02779,0.66828,0.69492,0.71921,0.43924,1.48189,1.13499,1.30459,0.000991865,0.000991865,0.000991865
92,466.558,1.05534,0.62596,1.01593,0.74826,0.69355,0.7321,0.44919,1.48944,1.03317,1.36174,0.000984363,0.000984363,0.000984363
93,472.033,1.04411,0.59918,1.00913,0.74326,0.69734,0.7287,0.43815,1.51799,1.02749,1.37859,0.000976862,0.000976862,0.000976862
94,476.759,1.01601,0.61847,1.0297,0.70231,0.72308,0.76612,0.47428,1.42275,1.04604,1.29494,0.00096936,0.00096936,0.00096936
95,480.755,1.01673,0.59845,1.0038,0.77624,0.68496,0.77074,0.48501,1.42353,0.95541,1.24383,0.000961859,0.000961859,0.000961859
96,486.778,1.03147,0.61387,0.99402,0.71192,0.75867,0.7773,0.47813,1.39701,0.96598,1.27787,0.000954358,0.000954358,0.000954358
97,491.213,1.03806,0.58539,1.03485,0.67065,0.81086,0.75635,0.46128,1.4092,1.00986,1.29816,0.000946856,0.000946856,0.000946856
98,495.318,1.00939,0.58161,0.99959,0.80777,0.71894,0.77616,0.46567,1.39233,0.97205,1.30307,0.000939355,0.000939355,0.000939355
99,501.235,0.99986,0.62265,1.0045,0.93089,0.64368,0.78804,0.4779,1.4429,1.16175,1.28704,0.000931853,0.000931853,0.000931853
100,505.543,1.00298,0.5992,1.01643,0.91688,0.72273,0.79398,0.48135,1.38767,1.07413,1.25128,0.000924352,0.000924352,0.000924352
101,510.174,0.95798,0.56426,0.98574,0.79834,0.7596,0.79003,0.48027,1.3901,1.01133,1.2801,0.00091685,0.00091685,0.00091685
102,515.841,0.95076,0.58209,1.00616,0.89065,0.66958,0.78258,0.48574,1.41328,0.9917,1.29504,0.000909348,0.000909348,0.000909348
103,520.306,0.89471,0.56174,0.97669,0.86585,0.64999,0.78441,0.48636,1.40373,1.00715,1.28763,0.000901847,0.000901847,0.000901847
104,524.592,0.95117,0.5725,0.99407,0.79409,0.73482,0.78747,0.47802,1.49069,0.98099,1.33443,0.000894346,0.000894346,0.000894346
105,530.201,0.97216,0.59203,0.99552,0.85422,0.67895,0.80601,0.48304,1.60062,0.90171,1.46065,0.000886844,0.000886844,0.000886844
106,534.825,0.96061,0.58377,0.98902,0.79225,0.77399,0.82008,0.4986,1.46352,0.89609,1.3412,0.000879343,0.000879343,0.000879343
107,538.602,0.98513,0.5815,0.9987,0.7739,0.7637,0.80829,0.49123,1.47899,0.87846,1.41358,0.000871841,0.000871841,0.000871841
108,544.354,0.94063,0.57429,0.96827,0.77375,0.74242,0.79643,0.49053,1.48827,0.9598,1.38783,0.000864339,0.000864339,0.000864339
109,548.982,0.9534,0.56802,0.99704,0.7485,0.7541,0.76444,0.47019,1.47577,1.1659,1.36448,0.000856838,0.000856838,0.000856838
110,553.732,0.90854,0.54155,0.97427,0.76886,0.69447,0.77029,0.47171,1.45344,1.03904,1.29472,0.000849336,0.000849336,0.000849336
111,559.033,0.92943,0.56967,0.97525,0.73217,0.71989,0.77244,0.4769,1.44663,1.01056,1.30411,0.000841835,0.000841835,0.000841835
112,563.504,0.93544,0.53586,0.96704,0.70258,0.79255,0.76897,0.46824,1.52385,1.03668,1.38061,0.000834333,0.000834333,0.000834333
113,567.641,0.92804,0.56663,0.97267,0.76774,0.72828,0.76117,0.47404,1.43764,1.06199,1.29129,0.000826832,0.000826832,0.000826832
114,573.316,0.94862,0.5795,0.98464,0.85342,0.76264,0.8221,0.49707,1.37544,0.84883,1.26253,0.000819331,0.000819331,0.000819331
115,577.494,0.94629,0.57021,0.97706,0.81999,0.72441,0.80859,0.51406,1.31747,0.85484,1.23186,0.000811829,0.000811829,0.000811829
116,581.881,0.94213,0.5666,1.00535,0.77474,0.73204,0.78125,0.48662,1.37345,0.86003,1.2612,0.000804328,0.000804328,0.000804328
117,587.341,0.92378,0.534,0.99441,0.79701,0.68347,0.76529,0.48056,1.338,0.91577,1.23275,0.000796826,0.000796826,0.000796826
118,591.959,0.94031,0.5696,0.9694,0.80641,0.67891,0.76499,0.48588,1.38951,0.96927,1.26159,0.000789325,0.000789325,0.000789325
119,596.548,0.94264,0.55485,0.98136,0.81639,0.66389,0.74674,0.47273,1.3866,1.06075,1.23447,0.000781823,0.000781823,0.000781823
120,601.536,0.91601,0.56129,0.98344,0.80747,0.65655,0.73707,0.45017,1.44103,1.18871,1.25632,0.000774322,0.000774322,0.000774322
121,605.741,0.90833,0.53537,0.98127,0.81204,0.70089,0.75633,0.46806,1.47562,1.0234,1.29957,0.00076682,0.00076682,0.00076682
122,610.415,0.97341,0.56302,0.99469,0.7258,0.73763,0.77919,0.45341,1.4772,0.90163,1.3096,0.000759319,0.000759319,0.000759319
123,615.339,0.88551,0.54918,0.97083,0.70731,0.77725,0.76699,0.45704,1.48479,0.91697,1.30948,0.000751817,0.000751817,0.000751817
124,620.003,0.8993,0.53777,0.97298,0.72741,0.7601,0.76126,0.47584,1.40756,1.00329,1.28253,0.000744316,0.000744316,0.000744316
125,623.991,0.87823,0.52365,0.96911,0.7822,0.74339,0.76939,0.48033,1.43894,1.00204,1.29311,0.000736814,0.000736814,0.000736814
126,629.556,0.91614,0.55226,0.9764,0.8567,0.70985,0.78275,0.46975,1.43851,0.96477,1.29165,0.000729313,0.000729313,0.000729313
127,633.599,0.9016,0.53399,0.96462,0.80205,0.71768,0.76878,0.46454,1.45491,0.98525,1.30497,0.000721811,0.000721811,0.000721811
128,638.329,0.89921,0.53052,0.97122,0.73954,0.6605,0.74418,0.45179,1.47218,1.0172,1.30026,0.00071431,0.00071431,0.00071431
129,643.811,0.9227,0.53143,0.96567,0.71685,0.68788,0.76529,0.46281,1.48632,1.12519,1.30856,0.000706808,0.000706808,0.000706808
130,648.211,0.90608,0.55939,0.97693,0.76396,0.7351,0.78392,0.47787,1.36477,1.02826,1.2594,0.000699306,0.000699306,0.000699306
131,652.417,0.89364,0.54033,0.97072,0.67099,0.78308,0.77804,0.46208,1.36601,1.06283,1.25153,0.000691805,0.000691805,0.000691805
132,657.738,0.88112,0.52491,0.98354,0.69961,0.79747,0.80534,0.48649,1.46053,0.86528,1.28788,0.000684303,0.000684303,0.000684303
133,662.036,0.89172,0.52921,0.9573,0.73283,0.74242,0.78656,0.48203,1.4428,0.90061,1.30316,0.000676802,0.000676802,0.000676802
134,666.369,0.85984,0.52809,0.95845,0.75264,0.72994,0.7797,0.47504,1.41329,0.97093,1.29181,0.000669301,0.000669301,0.000669301
135,672.102,0.89443,0.54157,0.97065,0.81721,0.69171,0.7717,0.47724,1.35646,0.98852,1.24931,0.000661799,0.000661799,0.000661799
136,676.56,0.93818,0.54669,0.98123,0.72465,0.72803,0.757,0.47504,1.34831,0.98989,1.2575,0.000654297,0.000654297,0.000654297
137,680.854,0.84625,0.54278,0.94962,0.90531,0.6404,0.77322,0.48126,1.35449,0.97443,1.23421,0.000646796,0.000646796,0.000646796
138,686.76,0.82251,0.52544,0.94632,0.88087,0.6596,0.75201,0.46821,1.41009,1.02993,1.29614,0.000639294,0.000639294,0.000639294
139,691.108,0.86905,0.53716,0.96529,0.81461,0.66774,0.75191,0.46461,1.41751,1.02357,1.30223,0.000631793,0.000631793,0.000631793
140,695.574,0.90494,0.55106,0.97961,0.77385,0.72563,0.77003,0.47474,1.40409,0.95769,1.28687,0.000624292,0.000624292,0.000624292
141,701.148,0.86062,0.49669,0.9546,0.83172,0.69167,0.77365,0.46885,1.40344,0.90687,1.27371,0.00061679,0.00061679,0.00061679
142,705.551,0.83601,0.51121,0.94033,0.75744,0.72424,0.76339,0.46919,1.48895,0.95774,1.31654,0.000609289,0.000609289,0.000609289
143,709.85,0.87335,0.53339,0.95616,0.75943,0.70398,0.75453,0.46684,1.45776,1.07988,1.28592,0.000601787,0.000601787,0.000601787
144,715.816,0.86638,0.52491,0.95266,0.72301,0.7387,0.74456,0.47286,1.43526,1.07684,1.28024,0.000594286,0.000594286,0.000594286
145,720.455,0.85714,0.50553,0.94164,0.8129,0.66439,0.74454,0.46376,1.41659,1.07631,1.27664,0.000586784,0.000586784,0.000586784
146,724.958,0.87773,0.49967,0.96167,0.83374,0.69167,0.75887,0.47958,1.38342,0.97175,1.26946,0.000579283,0.000579283,0.000579283
147,730.393,0.87076,0.5084,0.9387,0.80901,0.74782,0.76712,0.48214,1.37832,0.9671,1.26245,0.000571781,0.000571781,0.000571781
148,734.521,0.77107,0.47778,0.93462,0.80361,0.71637,0.77812,0.48295,1.40443,1.04724,1.3031,0.00056428,0.00056428,0.00056428
149,739.116,0.84134,0.51559,0.95567,0.84313,0.71263,0.7622,0.47172,1.38379,1.08884,1.27405,0.000556778,0.000556778,0.000556778
150,744.923,0.82187,0.49127,0.9383,0.76762,0.69797,0.74601,0.45753,1.36475,1.11594,1.24218,0.000549277,0.000549277,0.000549277
151,749.109,0.80263,0.4878,0.94313,0.83892,0.68207,0.77081,0.48247,1.32769,1.0275,1.2293,0.000541775,0.000541775,0.000541775
152,754.234,0.82775,0.49346,0.95028,0.80122,0.72741,0.77214,0.49477,1.3131,1.02267,1.22587,0.000534273,0.000534273,0.000534273
153,759.203,0.79126,0.48028,0.93079,0.78494,0.68771,0.76364,0.50248,1.32515,1.03115,1.23105,0.000526772,0.000526772,0.000526772
154,763.551,0.84386,0.50115,0.93986,0.79254,0.66284,0.74798,0.46228,1.35391,1.01026,1.23752,0.000519271,0.000519271,0.000519271
155,767.93,0.84434,0.49041,0.94648,0.6906,0.76061,0.77491,0.48048,1.3719,1.02676,1.25708,0.000511769,0.000511769,0.000511769
156,773.592,0.78258,0.46571,0.92037,0.85009,0.6393,0.77131,0.47089,1.36566,0.99618,1.2553,0.000504268,0.000504268,0.000504268
157,778.019,0.84361,0.47947,0.94357,0.7038,0.78997,0.77557,0.48683,1.37764,0.95518,1.28404,0.000496766,0.000496766,0.000496766
158,782.687,0.79863,0.45942,0.93438,0.85638,0.71265,0.78314,0.49468,1.41251,0.93849,1.30405,0.000489264,0.000489264,0.000489264
159,787.993,0.82933,0.48386,0.94224,0.82805,0.71776,0.79885,0.49946,1.42452,0.93474,1.30014,0.000481763,0.000481763,0.000481763
160,792.246,0.8113,0.47956,0.93228,0.80843,0.73984,0.79775,0.50354,1.43542,0.9551,1.32434,0.000474261,0.000474261,0.000474261
161,796.799,0.76966,0.46976,0.93059,0.75785,0.76061,0.79174,0.50644,1.38697,0.96351,1.28426,0.00046676,0.00046676,0.00046676
162,802.339,0.7991,0.47752,0.93618,0.85248,0.65509,0.78831,0.49705,1.38399,0.98666,1.29587,0.000459258,0.000459258,0.000459258
163,806.448,0.7972,0.48391,0.94071,0.77939,0.74672,0.78315,0.48886,1.37857,0.97209,1.28125,0.000451757,0.000451757,0.000451757
164,811.519,0.77884,0.46215,0.93593,0.81509,0.69596,0.78195,0.48378,1.38042,0.95476,1.28667,0.000444256,0.000444256,0.000444256
165,816.668,0.78589,0.4715,0.92531,0.86043,0.66689,0.78185,0.4937,1.36599,0.9588,1.28339,0.000436754,0.000436754,0.000436754
